4/30/2019 10:28:16 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
3311	37506.68	1	7.7	10	-6.5	7.352835	10.13933	-6.275938	7.437772	9.860789	-6.145712	0.03625846	0	-0.03094769	
3312	37517.93	1	7.7	10	-6.5	7.347214	10.14018	-6.27743	7.437537	9.86047	-6.145592	0.0362289	0	-0.03095341	
3313	37529.12	1	7.7	10	-6.5	7.34167	10.14089	-6.278654	7.437377	9.860132	-6.145352	0.03619862	0	-0.03095758	
3314	37540.57	1	7.7	10	-6.5	7.336094	10.1417	-6.280811	7.437058	9.859775	-6.145226	0.03616714	0	-0.03096509	
3315	37551.3	1	7.7	10	-6.5	7.330529	10.14249	-6.283115	7.436737	9.859449	-6.145066	0.03613758	0	-0.03097415	
3316	37562.36	1	7.7	10	-6.5	7.325223	10.14323	-6.285984	7.436284	9.859079	-6.145132	0.03610945	0	-0.03098643	
3317	37573.84	1	7.7	10	-6.5	7.320095	10.14378	-6.288925	7.435755	9.858727	-6.144994	0.03608155	0	-0.03099895	
3318	37584.84	1	7.7	10	-6.5	7.315181	10.14444	-6.292062	7.435364	9.858284	-6.14502	0.03605556	0	-0.03101265	
3319	37595.97	1	7.7	10	-6.5	7.310778	10.14515	-6.295373	7.434816	9.857888	-6.144999	0.03603101	0	-0.03102684	
3320	37607.13	1	7.7	10	-6.5	7.306523	10.14578	-6.299059	7.43425	9.857571	-6.145069	0.03600836	0	-0.03104258	
3321	37618.39	1	7.7	10	-6.5	7.302538	10.14647	-6.302581	7.433269	9.857217	-6.145029	0.03598595	0	-0.03105807	
3322	37629.64	1	7.7	10	-6.5	7.299057	10.1469	-6.306117	7.432436	9.856719	-6.145032	0.03596687	0	-0.03107452	
3323	37640.4	1	7.7	10	-6.5	7.29559	10.14741	-6.309724	7.431526	9.85632	-6.145175	0.0359478	0	-0.03109026	
