4/14/2019 1:47	The file contains frame by frame data of location for 3 tracked objects 													
The coordinate system is in Unity world coordinates.														
-------------------------------------------------														
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ
3611	40918.91	0	0	0	0	7.111444	10.15562	-6.98799	7.908909	9.825019	-6.937649	33.95094	-2.615858	4.75
3612	40929.84	0	0	0	0	7.113925	10.1557	-6.989526	7.908893	9.825009	-6.937676	32.68999	-2.280809	4.75
3613	40941.06	0	0	0	0	7.115802	10.15547	-6.991086	7.908892	9.825018	-6.937681	36.94828	-3.702003	4.75
3614	40952.33	0	0	0	0	7.11783	10.15554	-6.993413	7.908852	9.825024	-6.937646	38.03459	-4.25697	4.75
3615	40963.63	0	0	0	0	7.119867	10.1554	-6.99519	7.908889	9.825031	-6.937589	40.29591	-5.210369	4.75
3616	40974.41	0	0	0	0	7.121964	10.15521	-6.997108	7.90889	9.825043	-6.937582	43.03566	-6.246453	4.75
3617	40986.27	0	0	0	0	7.124005	10.15515	-6.999553	7.908858	9.825031	-6.937619	40.51511	-5.325878	4.75
3618	40997.09	0	0	0	0	7.125533	10.15473	-7.00174	7.908868	9.825051	-6.937578	38.56049	-4.493547	4.75
3619	41008.13	0	0	0	0	7.127947	10.15436	-7.004163	7.908864	9.825046	-6.937574	7.832936	9.845026	-6.87564
3620	41019.61	0	0	0	0	7.130133	10.15405	-7.006312	7.908885	9.825024	-6.937574	7.840317	9.839816	-6.866303
3621	41030.62	0	0	0	0	7.131709	10.15355	-7.00873	7.908853	9.82501	-6.93763	7.854117	9.832882	-6.854311
3622	41041.59	0	0	0	0	7.133839	10.15282	-7.011079	7.908857	9.825028	-6.937628	45.44205	-7.376245	4.75
3623	41052.89	0	0	0	0	7.135849	10.15245	-7.01337	7.908822	9.825048	-6.937615	42.70291	-6.281959	4.75
3624	41064.1	0	0	0	0	7.138065	10.15206	-7.015708	7.908833	9.825069	-6.937581	40.1642	-5.281803	4.75
3625	41075.43	0	0	0	0	7.139986	10.1516	-7.018357	7.908789	9.825029	-6.937559	40.1642	-5.281803	4.75
3626	41087.04	0	0	0	0	7.141607	10.15127	-7.020627	7.9088	9.825005	-6.937625	40.1642	-5.281803	4.75
3627	41098.79	0	0	0	0	7.143221	10.15076	-7.022824	7.908762	9.824977	-6.93765	40.1642	-5.281803	4.75
3628	41110.13	0	0	0	0	7.144798	10.15031	-7.025054	7.908689	9.824887	-6.93762	40.1642	-5.281803	4.75
3629	41121.97	0	0	0	0	7.146137	10.14989	-7.026988	7.908753	9.824817	-6.93764	40.1642	-5.281803	4.75
3630	41133.29	0	0	0	0	7.147693	10.14952	-7.028562	7.90885	9.824975	-6.937659	40.1642	-5.281803	4.75
3631	41145.45	0	0	0	0	7.148917	10.14913	-7.030177	7.908856	9.824972	-6.937632	40.1642	-5.281803	4.75
3632	41156.51	0	0	0	0	7.149921	10.14884	-7.031471	7.908727	9.825005	-6.937592	40.1642	-5.281803	4.75
3633	41168.21	0	0	0	0	7.151162	10.14853	-7.032773	7.90861	9.824867	-6.937546	40.1642	-5.281803	4.75
3634	41179.57	0	0	0	0	7.152199	10.14818	-7.03392	7.908576	9.824842	-6.937527	40.1642	-5.281803	4.75
3635	41191.05	0	0	0	0	7.153072	10.14786	-7.034899	7.908456	9.824896	-6.937484	40.1642	-5.281803	4.75
3636	41202.43	0	0	0	0	7.153828	10.14756	-7.035876	7.908411	9.824866	-6.937418	40.1642	-5.281803	4.75
3637	41214.02	0	0	0	0	7.154469	10.14729	-7.036477	7.908367	9.824843	-6.937425	40.1642	-5.281803	4.75
3638	41225.09	0	0	0	0	7.15521	10.14706	-7.037178	7.908303	9.824847	-6.937411	40.1642	-5.281803	4.75
3639	41236.42	0	0	0	0	7.155878	10.14697	-7.037911	7.908465	9.825085	-6.937413	40.1642	-5.281803	4.75
