4/14/2019 1:29	The file contains frame by frame data of location for 3 tracked objects 										
The coordinate system is in Unity world coordinates.											
-------------------------------------------------											
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ
664	8107.409	0	7.7	10	-6.5	6.870558	10.15716	-6.768323	7.405951	9.982176	-6.499352
665	8117.629	0	7.7	10	-6.5	7.02921	10.16432	-6.796179	7.406945	9.982082	-6.499609
666	8125.075	0	7.7	10	-6.5	7.029883	10.16428	-6.796243	7.40765	9.982074	-6.499736
667	8135.842	0	7.7	10	-6.5	7.030405	10.16427	-6.796203	7.408626	9.982124	-6.499859
668	8146.914	0	7.7	10	-6.5	7.031105	10.1642	-6.796154	7.409541	9.982153	-6.500024
669	8158.186	0	7.7	10	-6.5	7.031629	10.16412	-6.796103	7.410548	9.982465	-6.500339
670	8170.074	0	7.7	10	-6.5	7.032081	10.16401	-6.796007	7.411495	9.982517	-6.500433
671	8182.565	0	7.7	10	-6.5	7.032453	10.16389	-6.795963	7.412385	9.982671	-6.500709
672	8191.336	0	7.7	10	-6.5	7.032761	10.16377	-6.795743	7.412873	9.982643	-6.500789
673	8203.027	0	7.7	10	-6.5	7.033	10.16371	-6.795571	7.413375	9.982583	-6.500699
674	8214.014	0	7.7	10	-6.5	7.033282	10.16352	-6.795466	7.413801	9.982321	-6.500789
675	8225.087	0	7.7	10	-6.5	7.033517	10.16339	-6.795388	7.414306	9.982067	-6.500843
676	8236.339	0	7.7	10	-6.5	7.033678	10.16321	-6.795251	7.414758	9.98148	-6.500871
677	8247.968	0	7.7	10	-6.5	7.033899	10.16304	-6.795157	7.415014	9.98093	-6.500931
678	8259.123	0	7.7	10	-6.5	7.034025	10.16284	-6.795059	7.415198	9.980294	-6.500899
679	8270.531	0	7.7	10	-6.5	7.034016	10.16274	-6.794862	7.415367	9.979692	-6.50085
680	8281.053	0	7.7	10	-6.5	7.034147	10.16263	-6.794793	7.415421	9.979169	-6.500885
681	8303.383	0	7.7	10	-6.5	7.034218	10.16254	-6.794678	7.415688	9.978272	-6.500715
682	8314.514	0	7.7	10	-6.5	7.034389	10.16243	-6.794451	7.415862	9.977852	-6.500743
683	8325.777	0	7.7	10	-6.5	7.034423	10.16245	-6.794308	7.416272	9.977576	-6.500782
684	8337.342	0	7.7	10	-6.5	7.03443	10.16245	-6.794223	7.416625	9.977166	-6.500663
685	8348.351	0	7.7	10	-6.5	7.034588	10.16243	-6.794154	7.416968	9.976884	-6.500638
686	8358.976	0	7.7	10	-6.5	7.034665	10.16243	-6.794158	7.417493	9.976768	-6.500688
687	8370.571	0	7.7	10	-6.5	7.034632	10.16245	-6.794125	7.418107	9.976704	-6.500682
688	8382.02	0	7.7	10	-6.5	7.034697	10.16242	-6.794206	7.418892	9.976827	-6.500794
689	8393.003	0	7.7	10	-6.5	7.03474	10.16239	-6.794256	7.420051	9.977129	-6.500797
690	8403.911	0	7.7	10	-6.5	7.03467	10.16245	-6.794241	7.421153	9.977591	-6.500777
691	8415.361	0	7.7	10	-6.5	7.034779	10.16244	-6.794276	7.4229	9.978228	-6.500833
692	8426.604	0	7.7	10	-6.5	7.034792	10.16244	-6.794275	7.425288	9.979191	-6.500935
693	8437.879	0	7.7	10	-6.5	7.034746	10.16245	-6.794315	7.427493	9.979865	-6.500953
694	8448.483	0	7.7	10	-6.5	7.034917	10.16243	-6.794351	7.430358	9.980675	-6.500877
695	8459.773	0	7.7	10	-6.5	7.034885	10.16232	-6.794439	7.433287	9.981492	-6.500923
696	8471.269	0	7.7	10	-6.5	7.034786	10.16229	-6.794525	7.43695	9.982321	-6.500899
697	8483.302	0	7.7	10	-6.5	7.034773	10.1622	-6.794672	7.441446	9.983356	-6.501049
698	8492.882	0	7.7	10	-6.5	7.034711	10.16218	-6.794861	7.445583	9.984145	-6.501053
699	8504.997	0	7.7	10	-6.5	7.034489	10.16212	-6.794993	7.451017	9.985199	-6.501229
700	8516.096	0	7.7	10	-6.5	7.034425	10.16206	-6.795154	7.456236	9.986336	-6.501391
701	8526.597	0	7.7	10	-6.5	7.034292	10.162	-6.795332	7.461739	9.987394	-6.501641
702	8538.004	0	7.7	10	-6.5	7.034068	10.16196	-6.795463	7.467898	9.988263	-6.502246
703	8549.16	0	7.7	10	-6.5	7.034055	10.16195	-6.795613	7.473921	9.989467	-6.502756
704	8560.39	0	7.7	10	-6.5	7.033756	10.16198	-6.795614	7.479603	9.990287	-6.503431
705	8572.627	0	7.7	10	-6.5	7.033401	10.16206	-6.795621	7.48552	9.990994	-6.504099
706	8582.568	0	7.7	10	-6.5	7.033362	10.16214	-6.795784	7.490641	9.991443	-6.504888
707	8593.91	0	7.7	10	-6.5	7.03308	10.16222	-6.795802	7.49579	9.991745	-6.505738
708	8604.896	-1	7.7	10	-6.5	7.032823	10.16229	-6.795847	7.500761	9.992036	-6.506537
709	8616.673	-1	7.7	10	-6.5	7.032754	10.16236	-6.796004	7.505352	9.992399	-6.50756
710	8627.119	-1	7.7	10	-6.5	7.032368	10.16249	-6.795798	7.509292	9.992502	-6.508336
711	8638.612	-1	7.7	10	-6.5	7.032077	10.16261	-6.795787	7.51324	9.992953	-6.509078
712	8650.475	-1	7.7	10	-6.5	7.031808	10.16267	-6.795828	7.517151	9.993236	-6.510188
713	8662.413	-1	7.7	10	-6.5	7.031588	10.16279	-6.795767	7.520971	9.993562	-6.511213
714	8672.751	-1	7.7	10	-6.5	7.031277	10.16294	-6.795681	7.523713	9.993888	-6.511949
715	8683.471	-1	7.7	10	-6.5	7.031213	10.16301	-6.795691	7.526958	9.994017	-6.512965
716	8694.951	-1	7.7	10	-6.5	7.030951	10.16311	-6.795539	7.530273	9.994072	-6.513912
717	8706.205	-1	7.7	10	-6.5	7.030782	10.16316	-6.795462	7.53335	9.993999	-6.514884
718	8716.946	-1	7.7	10	-6.5	7.030692	10.16319	-6.795377	7.536023	9.993881	-6.515904
719	8728.561	-1	7.7	10	-6.5	7.030531	10.16317	-6.795246	7.538727	9.993853	-6.516872
720	8742.036	-1	7.7	10	-6.5	7.030264	10.16321	-6.795077	7.541196	9.993886	-6.518026
721	8753.522	-1	7.7	10	-6.5	7.030231	10.16319	-6.794913	7.543087	9.994019	-6.519116
722	8761.556	-1	7.7	10	-6.5	7.030138	10.16316	-6.794755	7.544109	9.994066	-6.519792
723	8772.873	-1	7.7	10	-6.5	7.030042	10.16309	-6.794597	7.545159	9.994093	-6.52068
724	8784.341	-1	7.7	10	-6.5	7.030153	10.16303	-6.794449	7.546059	9.994131	-6.521667
725	8795.338	-1	7.7	10	-6.5	7.030066	10.163	-6.794191	7.546237	9.994179	-6.522523
726	8807.141	-1	7.7	10	-6.5	7.029978	10.16292	-6.793932	7.54601	9.994309	-6.523427
727	8817.629	-1	7.7	10	-6.5	7.030026	10.16282	-6.793615	7.545451	9.994362	-6.524372
728	8828.846	-1	7.7	10	-6.5	7.02994	10.16272	-6.793217	7.544888	9.994481	-6.525187
729	8840.499	-1	7.7	10	-6.5	7.029886	10.16256	-6.792849	7.543699	9.994569	-6.526235
730	8851.909	-1	7.7	10	-6.5	7.03005	10.16239	-6.792416	7.54207	9.994762	-6.527559
731	8863.859	-1	7.7	10	-6.5	7.029914	10.16217	-6.791793	7.540433	9.994931	-6.528696
732	8874.786	-1	7.7	10	-6.5	7.029691	10.16199	-6.791083	7.538186	9.995223	-6.530061
733	8886.423	-1	7.7	10	-6.5	7.02946	10.16168	-6.79034	7.535657	9.995282	-6.531625
734	8898.067	-1	7.7	10	-6.5	7.029122	10.16123	-6.78932	7.53303	9.995409	-6.533447
