4/21/2019 10:31:48 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
28483	320545.6	26	6.5	10	-6.2	6.841291	10.15054	-6.507351	7.003068	10.01773	-6.28093	42.79845	15.56168	4.75	
28484	320556.1	26	6.5	10	-6.2	6.839996	10.1507	-6.507821	7.004821	10.01458	-6.270655	42.79845	15.56168	4.75	
28485	320567.9	26	6.5	10	-6.2	6.838661	10.15082	-6.508265	7.006162	10.01163	-6.260861	42.79845	15.56168	4.75	
28486	320578.7	26	6.5	10	-6.2	6.837135	10.15094	-6.508585	7.007443	10.00855	-6.25205	42.79845	15.56168	4.75	
28487	320589.6	26	6.5	10	-6.2	6.835567	10.15097	-6.508716	7.008039	10.00581	-6.244745	42.79845	15.56168	4.75	
28488	320600.9	26	6.5	10	-6.2	6.833889	10.15115	-6.50872	7.00805	10.00335	-6.238454	42.79845	15.56168	4.75	
28489	320614.3	26	6.5	10	-6.2	6.832086	10.15132	-6.508673	7.006645	10.00123	-6.234012	42.79845	15.56168	4.75	
28490	320623.9	26	6.5	10	-6.2	6.83023	10.15145	-6.508466	7.003907	9.999667	-6.231382	42.79845	15.56168	4.75	
28491	320635.1	26	6.5	10	-6.2	6.828305	10.15171	-6.508065	7.001099	9.998033	-6.228393	42.79845	15.56168	4.75	
28492	320649	26	6.5	10	-6.2	6.826208	10.15193	-6.507678	6.995613	9.996636	-6.227403	42.79845	15.56168	4.75	
28493	320659.6	26	6.5	10	-6.2	6.824096	10.15226	-6.507196	6.990689	9.995236	-6.226186	42.79845	15.56168	4.75	
28494	320668	26	6.5	10	-6.2	6.821789	10.15242	-6.506495	6.985279	9.994065	-6.225952	42.79845	15.56168	4.75	
28495	320679.3	26	6.5	10	-6.2	6.81931	10.15246	-6.506014	6.977704	9.99321	-6.226906	42.79845	15.56168	4.75	
28496	320690.8	26	6.5	10	-6.2	6.816884	10.15247	-6.505638	6.970007	9.992491	-6.228292	42.79845	15.56168	4.75	
28497	320702	26	6.5	10	-6.2	6.814491	10.15229	-6.505259	6.961501	9.991561	-6.230144	42.79845	15.56168	4.75	
28498	320712.7	26	6.5	10	-6.2	6.81203	10.15198	-6.505226	6.952423	9.990441	-6.232461	42.79845	15.56168	4.75	
28499	320724.4	26	6.5	10	-6.2	6.809495	10.15167	-6.505158	6.942833	9.989381	-6.235016	42.79845	15.56168	4.75	
28500	320735.8	26	6.5	10	-6.2	6.806756	10.15136	-6.505317	6.93232	9.987624	-6.238231	42.79845	15.56168	4.75	
28501	320747.5	26	6.5	10	-6.2	6.803821	10.15113	-6.505403	6.921135	9.985846	-6.241787	42.79845	15.56168	4.75	
28502	320758.6	26	6.5	10	-6.2	6.800721	10.15089	-6.505589	6.910226	9.984035	-6.245522	42.79845	15.56168	4.75	
28503	320777.1	26	6.5	10	-6.2	6.79764	10.15057	-6.505851	6.892408	9.98083	-6.251994	42.79845	15.56168	4.75	
28504	320785.8	26	6.5	10	-6.2	6.794534	10.15025	-6.506252	6.88344	9.979211	-6.255597	42.79845	15.56168	4.75	
28505	320793.7	26	6.5	10	-6.2	6.791504	10.14991	-6.506665	6.876099	9.978071	-6.258702	42.79845	15.56168	4.75	
